2021-09-17 02:34:17,807 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170234')
2021-09-17 02:34:17,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:34:18,866 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:34:20,039 - INFO - load: budget=2; scheme=(0.6000000000000001,0.12000000000000002); tilderR=(21) tilderS=(1); result=({168}, 101); rev=48.48000000000001
2021-09-17 02:34:20,040 - INFO - load: budget=2; scheme=(0.6000000000000001,0.24000000000000005); tilderR=(21) tilderS=(5); result=((46, 149), 328); rev=118.08000000000001
2021-09-17 02:34:20,041 - INFO - load: budget=2; scheme=(0.6000000000000001,0.3600000000000001); tilderR=(21) tilderS=(14); result=((1, 46), 396); rev=95.03999999999999
2021-09-17 02:34:20,041 - INFO - load: budget=2; scheme=(0.6000000000000001,0.4800000000000001); tilderR=(21) tilderS=(32); result=((1, 150), 498); rev=59.76
2021-09-17 02:34:20,042 - INFO - load: budget=2; scheme=(0.6000000000000001,0.6000000000000001); tilderR=(21) tilderS=(46); result=((1, 150), 498); rev=0.0
2021-09-17 02:34:20,043 - INFO - load: budget=2; scheme=(0.7000000000000001,0.0); tilderR=(8) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,044 - INFO - load: budget=2; scheme=(0.7000000000000001,0.14); tilderR=(8) tilderS=(2); result=({168, 125}, 31); rev=17.360000000000003
2021-09-17 02:34:20,044 - INFO - load: budget=2; scheme=(0.7000000000000001,0.28); tilderR=(8) tilderS=(6); result=((46, 49), 104); rev=43.68000000000001
2021-09-17 02:34:20,045 - INFO - load: budget=2; scheme=(0.7000000000000001,0.4200000000000001); tilderR=(8) tilderS=(24); result=((1, 150), 159); rev=44.519999999999996
2021-09-17 02:34:20,046 - INFO - load: budget=2; scheme=(0.7000000000000001,0.56); tilderR=(8) tilderS=(39); result=((1, 150), 159); rev=22.26
2021-09-17 02:34:20,047 - INFO - load: budget=2; scheme=(0.7000000000000001,0.7000000000000001); tilderR=(8) tilderS=(53); result=((1, 150), 159); rev=0.0
2021-09-17 02:34:20,048 - INFO - load: budget=2; scheme=(0.8,0.0); tilderR=(3) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,049 - INFO - load: budget=2; scheme=(0.8,0.16000000000000003); tilderR=(3) tilderS=(2); result=({168, 125}, 12); rev=7.68
2021-09-17 02:34:20,050 - INFO - load: budget=2; scheme=(0.8,0.32000000000000006); tilderR=(3) tilderS=(10); result=((46, 62), 33); rev=15.84
2021-09-17 02:34:20,050 - INFO - load: budget=2; scheme=(0.8,0.4800000000000001); tilderR=(3) tilderS=(32); result=((150, 65), 50); rev=15.999999999999998
2021-09-17 02:34:20,051 - INFO - load: budget=2; scheme=(0.8,0.6400000000000001); tilderR=(3) tilderS=(48); result=((150, 109), 55); rev=8.799999999999995
2021-09-17 02:34:20,052 - INFO - load: budget=2; scheme=(0.8,0.8); tilderR=(3) tilderS=(54); result=((150, 109), 55); rev=0.0
2021-09-17 02:34:20,053 - INFO - load: budget=2; scheme=(0.9,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,054 - INFO - load: budget=2; scheme=(0.9,0.18000000000000002); tilderR=(0) tilderS=(3); result=((168, 125), 0); rev=0.0
2021-09-17 02:34:20,056 - INFO - load: budget=2; scheme=(0.9,0.36000000000000004); tilderR=(0) tilderS=(14); result=((169, 149), 0); rev=0.0
2021-09-17 02:34:20,057 - INFO - load: budget=2; scheme=(0.9,0.5400000000000001); tilderR=(0) tilderS=(38); result=((214, 125), 0); rev=0.0
2021-09-17 02:34:20,058 - INFO - load: budget=2; scheme=(0.9,0.7200000000000001); tilderR=(0) tilderS=(53); result=((214, 125), 0); rev=0.0
2021-09-17 02:34:20,059 - INFO - load: budget=2; scheme=(0.9,0.9); tilderR=(0) tilderS=(54); result=((214, 125), 0); rev=0.0
2021-09-17 02:34:20,060 - INFO - load: budget=2; scheme=(1.0,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
