did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(1.0, 1.0)	(27,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(29,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(32,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(33,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(169,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(41,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(44,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(45,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(174,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(173,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(47,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(50,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(53,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(183,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(65,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(67,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(196,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(197,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(71,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(72,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(73,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(74,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(76,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(204,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(77,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(207,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(80,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(206,)	0	0	0.0	0.0
