did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	1.0	W	h2	3	(0.4, 1.0)	{143, 53, 183}	1930	1320.28	-1158.0	-548.28
d1	1.0	W	h2	3	(0.45, 0.0)	{53}	821	562.28	369.45	369.45
d1	1.0	W	h2	3	(0.45, 0.05)	{53}	821	562.28	328.4	341.34
d1	1.0	W	h2	3	(0.45, 0.1)	{72, 53, 125}	1858	1272.29	650.3	708.87
d1	1.0	W	h2	3	(0.45, 0.15)	{143, 53, 183}	1930	1320.28	579.0	670.46
d1	1.0	W	h2	3	(0.45, 0.2)	{143, 53, 183}	1930	1320.28	482.5	604.44
d1	1.0	W	h2	3	(0.45, 0.25)	{143, 53, 183}	1930	1320.28	386.0	538.43
d1	1.0	W	h2	3	(0.45, 0.3)	{143, 53, 183}	1930	1320.28	289.5	472.42
d1	1.0	W	h2	3	(0.45, 0.35)	{143, 53, 183}	1930	1320.28	193.0	406.4
d1	1.0	W	h2	3	(0.45, 0.4)	{143, 53, 183}	1930	1320.28	96.5	340.39
d1	1.0	W	h2	3	(0.45, 0.45)	{143, 53, 183}	1930	1320.28	0.0	274.37
d1	1.0	W	h2	3	(0.45, 0.5)	{143, 53, 183}	1930	1320.28	-96.5	208.36
d1	1.0	W	h2	3	(0.45, 0.55)	{143, 53, 183}	1930	1320.28	-193.0	142.34
d1	1.0	W	h2	3	(0.45, 0.6)	{143, 53, 183}	1930	1320.28	-289.5	76.33
d1	1.0	W	h2	3	(0.45, 0.65)	{143, 53, 183}	1930	1320.28	-386.0	10.32
d1	1.0	W	h2	3	(0.45, 0.7)	{143, 53, 183}	1930	1320.28	-482.5	-55.7
d1	1.0	W	h2	3	(0.45, 0.75)	{143, 53, 183}	1930	1320.28	-579.0	-121.71
d1	1.0	W	h2	3	(0.45, 0.8)	{143, 53, 183}	1930	1320.28	-675.5	-187.73
d1	1.0	W	h2	3	(0.45, 0.85)	{143, 53, 183}	1930	1320.28	-772.0	-253.74
d1	1.0	W	h2	3	(0.45, 0.9)	{143, 53, 183}	1930	1320.28	-868.5	-319.75
d1	1.0	W	h2	3	(0.45, 0.95)	{143, 53, 183}	1930	1320.28	-965.0	-385.77
d1	1.0	W	h2	3	(0.45, 1.0)	{143, 53, 183}	1930	1320.28	-1061.5	-451.78
d1	1.0	W	h2	3	(0.5, 0.0)	{53}	821	562.28	410.5	410.5
d1	1.0	W	h2	3	(0.5, 0.05)	{53}	821	562.28	369.45	382.39
d1	1.0	W	h2	3	(0.5, 0.1)	{72, 53, 125}	1858	1272.29	743.2	801.77
d1	1.0	W	h2	3	(0.5, 0.15)	{143, 53, 183}	1930	1320.28	675.5	766.96
d1	1.0	W	h2	3	(0.5, 0.2)	{143, 53, 183}	1930	1320.28	579.0	700.94
d1	1.0	W	h2	3	(0.5, 0.25)	{143, 53, 183}	1930	1320.28	482.5	634.93
d1	1.0	W	h2	3	(0.5, 0.3)	{143, 53, 183}	1930	1320.28	386.0	568.92
d1	1.0	W	h2	3	(0.5, 0.35)	{143, 53, 183}	1930	1320.28	289.5	502.9
d1	1.0	W	h2	3	(0.5, 0.4)	{143, 53, 183}	1930	1320.28	193.0	436.89
d1	1.0	W	h2	3	(0.5, 0.45)	{143, 53, 183}	1930	1320.28	96.5	370.87
d1	1.0	W	h2	3	(0.5, 0.5)	{143, 53, 183}	1930	1320.28	0.0	304.86
d1	1.0	W	h2	3	(0.5, 0.55)	{143, 53, 183}	1930	1320.28	-96.5	238.84
d1	1.0	W	h2	3	(0.5, 0.6)	{143, 53, 183}	1930	1320.28	-193.0	172.83
d1	1.0	W	h2	3	(0.5, 0.65)	{143, 53, 183}	1930	1320.28	-289.5	106.82
d1	1.0	W	h2	3	(0.5, 0.7)	{143, 53, 183}	1930	1320.28	-386.0	40.8
d1	1.0	W	h2	3	(0.5, 0.75)	{143, 53, 183}	1930	1320.28	-482.5	-25.21
d1	1.0	W	h2	3	(0.5, 0.8)	{143, 53, 183}	1930	1320.28	-579.0	-91.23
d1	1.0	W	h2	3	(0.5, 0.85)	{143, 53, 183}	1930	1320.28	-675.5	-157.24
d1	1.0	W	h2	3	(0.5, 0.9)	{143, 53, 183}	1930	1320.28	-772.0	-223.25
d1	1.0	W	h2	3	(0.5, 0.95)	{143, 53, 183}	1930	1320.28	-868.5	-289.27
d1	1.0	W	h2	3	(0.5, 1.0)	{143, 53, 183}	1930	1320.28	-965.0	-355.28
d1	1.0	W	h2	3	(0.55, 0.0)	{53}	793	547.85	436.15	436.15
d1	1.0	W	h2	3	(0.55, 0.05)	{53}	793	547.85	396.5	408.76
d1	1.0	W	h2	3	(0.55, 0.1)	{72, 53, 125}	1798	1241.38	809.1	864.76
